PSBBN|BB Navigator
BOOT|LaunchELF
WLAUNCHELF|wLaunchELF
OPNPS2LD|Open PS2 Loader
OPL12O|Open PS2 Loader
OPL093|Open PS2 Loader
OPL0.8CHILDPROOF|OPL (Childproof)
REBOOT|Reboot System
POWEROFF|Shutdown System
OFF|Shutdown System
SYSTEMSHUTDOWN|Shutdown System
APPPOWEROFF|Shutdown System
OSDXMB|OSD-XMB
NICKYPS2|Nicky Boum
LBFN|LbFn
HWCLBFN|LbFn HWC
RABOOT|RetroArch
PS1VMODENEG|PS1VModeNeg
REGBA|ReGBA
TEMPGBA|TempGBA
XEBPLUS|Xtreme Elite Boot Plus
XEBPLUSXMAS|Xtreme Elite Boot Plus
PS2OGCARDTEST|Original Card Test
MCA|Memory Card Annihilator
MCA_|Memory Card Annihilator
MEMCARDANNIHILATOR|Memory Card Annihilator
MCAV20|Memory Card Annihilator
SMS|Simple Media System
HDDOSD|HDD-OSD
HOSDMENU|HOSDMenu
HDL|HD Loader
HDL_V0.8C|HD Loader
NEOCD|NeoCD/PS2
UOPL|Unofficial Open PS2 Loader
HDLSVR093|HDL Server
HDLSERVER093|HDL Server
GSM038|GSM
GSM036X|GSM
GSM023|GSM
GSM2|GSM
POPSLOADER|POPSLoader
PS2HDDTESTER|HDD Tester
3DPINBALLPLAYER|3D Pinball
3DPINBALL|3D Pinball
3DPINBALLPS2|3D Pinball
APOLLO|Apollo Save Tool
PGEN151|PGEN
PGENCJABCDPATCH48BIT|PGEN
PGENDATEL|PGEN Datel
NHDDLSTANDA|NHDDL
VTSPS2HBDL|HomeBrew DownLoader
PSXLAUNCHER|PSX Launcher
CLASSICUBEPS2|ClassiCube
MECHAPWNPCK|MechaPwn
R0004|SOCOM II Online R0004 Update
JUMPBUMP|Jump 'n Bump
CB10|Code Breaker
CB92|Code Breaker
ULAUNCHELF|uLaunchELF
FLASHBCK|Flashback (REminiscence)
DAVEGNUKEM|Dave Gnunkem
SUPERTUX|SuperTux
OPLNEUT|OPLNEUTRINO GUI
GPSPKAI|gpSP kai
PVCS13|PVCS
NTPS2|NTPS2
NTPS2UNC|NTPS2
TGBDUALLIBRETROPS2|TGB Dual Libretro PS2
MGBALIBRETROPS2|mGBA Libretro PS2
GPSPLIBRETROPS2|gpSP Libretro PS2
PS2ESDL0825OB|Playstation 2 External Storage Device Game Loader
DNASH4X0R|DNAS H4x0r
CDLOADER|CD Loader
GAMESHARK2|Gameshark 2
SNESEMU024S160906|SNES Station
SNES026C|SNES Station
ULEKHN|uLaunchELF
ULE2TB|uLaunchELF
DVDPLAYERPR|DVD Player
CODBREAKER1|Code Breaker
POWOFF|Shutdown System
SNESEMU024S|SNES
INFONESRE|InfoNES
VECXFORPS2|VecX For PS2
TGEMU|TGEmu
PS2PSXEGUIP|PS2PSXe GUI Pack
PS2PSXEN|PS2PSXe
BEEBEM|BEEBeM
SM64.US.F3DEX2E|Super Mario 64
NEOPOP|NeoPop
PS2TEMP|PS2 Temps
OSWANPS2|Wonderstation
ESRGUI|ESR GUI
MFU|PS2 Memory Card Formatter
TURBOGRAFX16|TurboGrafx-16
KHSKIP|Kingdom Hearts (Skip Mod)
SWAPMAGIC.38|Swap Magic 3 Plus
SMDVD38|Swap Magic 3 Plus
WOPNPS2LD|wOPL